symbol,gene_id,log2FoldChange,lfcSE,stat,pvalue,padj
DDX3Y,ENSG00000067048,-27.82537811548223,1.8870832161566768,-14.745178101977249,3.3044689854498654e-49,7.278423387351873e-45
ENSG00000288681,ENSG00000288681,-26.589452103489506,1.9873442264744081,-13.379389312268149,7.980032408201689e-41,8.78840969115252e-37
ZFY,ENSG00000067646,-25.227989622702754,1.9676801514823397,-12.821184176552984,1.2478011473550138e-37,9.161356023880511e-34
USP9Y,ENSG00000114374,-25.9672906622158,2.0363472462817183,-12.751897157830495,3.0424971697294712e-37,1.6753510665115334e-33
SNHG8,ENSG00000269893,-1.154797938164741,0.1221266229076556,-9.455742823888007,3.2073645405472995e-21,1.4129082274018964e-17
FAU,ENSG00000149806,-0.7449958936573718,0.0861428803580512,-8.648374544254974,5.2238137893064634e-18,1.9176620420544026e-14
ENSG00000167747,ENSG00000167747,-23.007367068687188,2.6755518618490175,-8.599110858866807,8.033605725107357e-18,2.5278314243030663e-14
GNL1,ENSG00000229470,-23.832651597799966,2.8049854518934216,-8.496533050363041,1.9533732863626793e-17,5.378125000678047e-14
RPLP2,ENSG00000177600,-0.828794192653552,0.09990167742508106,-8.296098864556974,1.0758600937625214e-16,2.6329882694681443e-13
DHCR7-DT,ENSG00000254682,-1.6001092604731764,0.19547639164045544,-8.185690594372629,2.7074652020836804e-16,5.963462854109514e-13
CAB39,ENSG00000135932,0.5315754793301011,0.0652403142296607,8.14796013181106,3.7011432489155576e-16,7.411034654601278e-13
EEF1D,ENSG00000104529,-1.010008139414931,0.1251999824531223,-8.067158793677153,7.195294069474153e-16,1.2754115477492444e-12
TRIM52-AS1,ENSG00000248275,-0.9235265200303036,0.11455811335482625,-8.061642191765339,7.527626496295368e-16,1.2754115477492444e-12
DDX24,ENSG00000089737,-1.480815920448912,0.1849201415272146,-8.007867116146356,1.167149167670715e-15,1.8292293729160977e-12
PARP4,ENSG00000102699,0.9935764392047455,0.12419941573268582,7.999847932805242,1.2457296192563999e-15,1.8292293729160977e-12
COX4I1,ENSG00000131143,-0.6266598173034402,0.07889003133515313,-7.9434601140055925,1.9661793818886534e-15,2.7066916915924674e-12
SIVA1,ENSG00000184990,-0.7455083590313586,0.09450101345196402,-7.888892740926099,3.048794094586873e-15,3.950161101610028e-12
TC2N,ENSG00000276776,-24.40221767089546,3.103273410708062,-7.863379870653324,3.739049184461093e-15,4.575349852052224e-12
JUND,ENSG00000130522,-1.5655100149213903,0.2026425793477894,-7.725474181981035,1.114377270531414e-14,1.2918565137223646e-11
KIR3DL1,ENSG00000283729,23.681554986358964,3.0718307590389657,7.7092642284003405,1.2654517146313763e-14,1.3936419733235347e-11
ENSG00000224032,ENSG00000224032,-1.0187156281323462,0.13288818928933777,-7.6659606363835255,1.7749762670744988e-14,1.8616965361229956e-11
RRAD,ENSG00000166592,-3.7951921936074484,0.4956190312687859,-7.657478737028615,1.8961872923320214e-14,1.8984282409502317e-11
KIR3DL2,ENSG00000276739,23.092013541725635,3.0723259701895826,7.516133953813731,5.641974716335074e-14,5.269716902278198e-11
SNHG32,ENSG00000204387,-0.6763591794091812,0.09001517629042065,-7.513834969638991,5.74199607984549e-14,5.269716902278198e-11
ZNF414,ENSG00000133250,-0.7396915252261371,0.0986161378049915,-7.500714808856541,6.347074991274639e-14,5.592026950312608e-11
ARPC5,ENSG00000162704,0.8746865293301064,0.11703937565932777,7.473438100661944,7.812619792854572e-14,6.618490906054416e-11
PHF1,ENSG00000112511,-2.0824892524908893,0.2794300433717668,-7.452631890838768,9.149631244220172e-14,7.464065843896056e-11
ENSG00000256861,ENSG00000256861,-22.960652288429092,3.103718570793935,-7.3977880934468,1.3847158491264303e-13,1.0668374316754741e-10
TRIM39,ENSG00000206495,-22.954778187116105,3.103720207862641,-7.3958915913118926,1.404625693207516e-13,1.0668374316754741e-10
ENSG00000245910,ENSG00000245910,-0.6092244008680716,0.08253262282427154,-7.381619292109887,1.5637581209892397e-13,1.1125261418742194e-10
TSR2,ENSG00000158526,-0.5831670046547615,0.07900444393200935,-7.381445595093749,1.5657999817534188e-13,1.1125261418742194e-10
SLC25A6,ENSG00000169100,-0.6200313836300698,0.08469467800994414,-7.320783291215428,2.465276827035071e-13,1.6968808560085773e-10
DUSP8,ENSG00000273793,-22.70926106329177,3.1038502933105527,-7.3164807955573705,2.545584337331495e-13,1.6990618367898033e-10
KIR3DL2,ENSG00000278474,-22.693842331388325,3.103863289089988,-7.311482567920014,2.6421080644603156e-13,1.711619771405968e-10
HNRNPM,ENSG00000099783,-0.5345961248279519,0.07321847169121593,-7.3013832777403875,2.848241062458305e-13,1.7924387897630465e-10
YJU2,ENSG00000105248,-1.0143598513218952,0.13981032179601666,-7.255257253479803,4.008991496079124e-13,2.4383782088458386e-10
PRPF31,ENSG00000275885,-22.511154660224207,3.1039814445859153,-7.252348334584614,4.0960679981520034e-13,2.4383782088458386e-10
KIR2DS4,ENSG00000276634,-22.38387004967927,3.1040733810973062,-7.211127863789887,5.549031705877972e-13,3.2049715775446137e-10
DARS2,ENSG00000117593,1.2605080775377213,0.17487443776495618,7.208075083174448,5.674833901944972e-13,3.2049715775446137e-10
ENSG00000289334,ENSG00000289334,-1.5159825768210808,0.21159837341598503,-7.164433980977649,7.81085981886904e-13,4.3010499592602364e-10
USO1,ENSG00000138768,0.893223968074047,0.12500684967681303,7.145400195136085,8.973407011843548e-13,4.820689337630878e-10
SREBF1,ENSG00000072310,-1.341450050897967,0.1888320380631835,-7.1039324929020555,1.212561022898308e-12,6.359016450085269e-10
OBSCN,ENSG00000154358,-1.2590710986482583,0.17749279929405215,-7.093646072719584,1.3062394069681985e-12,6.690983529739892e-10
TOMM7,ENSG00000196683,-0.7343313906057793,0.10392859274780906,-7.065730144039306,1.5977364355765966e-12,7.998123347729571e-10
SNHG1,ENSG00000255717,-1.0438424824378376,0.14786919797604048,-7.0592286745680015,1.6742934973025074e-12,8.195108571463339e-10
UBA52,ENSG00000221983,-0.7462114709293068,0.10581665157703998,-7.051928593544905,1.7645475583617838e-12,8.449114026190577e-10
KIR3DL2,ENSG00000284213,21.579022556051967,3.0722514046788882,7.023846591196337,2.1584179378934468e-12,1.011517308511512e-9
KDM5D,ENSG00000012817,-12.530830476450305,1.78632930450961,-7.0148490789554145,2.3019730028147824e-12,1.0563178616666332e-9
GMEB2,ENSG00000101216,-0.8362338083434899,0.11954137091909625,-6.995350663239758,2.645962888714009e-12,1.1893873180982605e-9
LZTS3,ENSG00000088899,-1.9564620785157554,0.2801678162178924,-6.983179242094581,2.885738489440029e-12,1.2712255193681216e-9
NXT1,ENSG00000132661,-1.324824261944747,0.1898804059190151,-6.97715098897456,3.0122592958817306e-12,1.3009416323743333e-9
LRIF1,ENSG00000121931,1.6498336707311578,0.23781558716166296,6.937449687053646,3.99241438225971e-12,1.6869116188474257e-9
DPP7,ENSG00000176978,-0.7440572058341773,0.10728849053459026,-6.935107411118718,4.0591262961460805e-12,1.6869116188474257e-9
CASP8AP2,ENSG00000288475,1.1657410659932306,0.168356837433577,6.92422763318513,4.383605518774283e-12,1.788023984380044e-9
PCED1B-AS1,ENSG00000247774,-0.9114219181762955,0.1321165806323686,-6.898618733650428,5.251059162251972e-12,2.10290598377749e-9
RPSA,ENSG00000168028,-0.6268266156218769,0.09106986096898963,-6.8829205288379525,5.8637744106284985e-12,2.3063481280089876e-9
DLGAP4,ENSG00000080845,0.45247852972597047,0.06586179648547717,6.870121282308843,6.4147343538434436e-12,2.45930397363629e-9
HSPG2,ENSG00000142798,-1.5586134700756031,0.2269131727372244,-6.868765930484553,6.475966152315665e-12,2.45930397363629e-9
DEK,ENSG00000124795,0.6166132807506551,0.08991107447494216,6.858034834435247,6.981423810715464e-12,2.606319336522353e-9
GET4,ENSG00000239857,-0.8601153710936107,0.12584520600065335,-6.834709071787329,8.217161585379466e-12,3.0165200179928023e-9
DDX54,ENSG00000123064,-0.801469703070513,0.11755057371103857,-6.818084146834336,9.226260021116101e-12,3.3314361184443155e-9
APRT,ENSG00000198931,-0.6505838699870432,0.09563134730402616,-6.803039885224466,1.0243427286703228e-11,3.6058388362725734e-9
GABPB1-IT1,ENSG00000285410,-0.7760264421536596,0.11408703484592278,-6.802056370399156,1.031362238650559e-11,3.6058388362725734e-9
CIRBP,ENSG00000099622,-0.7434450306935626,0.10941202272803867,-6.794911675671291,1.0837890656921298e-11,3.729927806396071e-9
KIF22,ENSG00000079616,-0.6132619145805751,0.09038140818357682,-6.78526620579929,1.1587265304597943e-11,3.926478547678066e-9
ENSG00000290839,ENSG00000290839,-1.9622596987203267,0.28995771273804866,-6.767399563856596,1.3111760850942864e-11,4.375752189437387e-9
