pathway,pval,padj,log2err,ES,NES,size,leadingEdge,direction,path_clean,signif
REACTOME_NEUTROPHIL_DEGRANULATION,1.6890062331381891e-25,1.6754941832730835e-22,1.3110147627406066,-0.4638355680461129,-2.4319664967966355,445,,Enriched in ΔHC,Reactome Neutrophil Degranulation,***
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,5.030819622083565e-19,1.6635243550356323e-16,1.1239149637448316,0.4577893612231425,2.495203650181167,279,,Enriched in ΔSX,Reactome Processing Of Capped Intron Containing Pre Mrna,***
REACTOME_RRNA_PROCESSING,3.745049012403775e-19,1.6635243550356323e-16,1.133089932009015,0.5136184764071989,2.7542947319788085,199,,Enriched in ΔSX,Reactome Rrna Processing,***
REACTOME_MRNA_SPLICING,1.5242313671047968e-18,3.780093790419896e-16,1.114664477517292,0.500187877255801,2.663301533541091,211,,Enriched in ΔSX,Reactome Mrna Splicing,***
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,6.756771051442467e-15,1.1171194805051546e-12,0.9969862175331805,0.6111179828840907,2.883093951284166,91,,Enriched in ΔSX,Reactome Eukaryotic Translation Elongation,***
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,6.219008051270917e-15,1.1171194805051546e-12,0.9969862175331805,0.5700532754942673,2.773010820018012,113,,Enriched in ΔSX,Reactome Nonsense Mediated Decay Nmd,***
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,2.5605544030638957e-13,3.6286713826276925e-11,0.932595211336209,0.4997780226598817,2.5639172652873943,146,,Enriched in ΔSX,Reactome Regulation Of Expression Of Slits And Robos,***
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,1.9320793317971313e-12,2.395778371428443e-10,0.8986712320616942,0.558066428774366,2.683232826295803,99,,Enriched in ΔSX,Reactome Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,***
REACTOME_INFLUENZA_INFECTION,1.848556724846051e-11,2.0375203011636474e-9,0.8634153916066928,0.470412740655551,2.4047243648946908,153,,Enriched in ΔSX,Reactome Influenza Infection,***
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,2.2674246453805233e-11,2.249285248217479e-9,0.8634153916066928,0.5211687879057674,2.562606420852165,117,,Enriched in ΔSX,Reactome Eukaryotic Translation Initiation,***
REACTOME_SIGNALING_BY_ROBO_RECEPTORS,1.2424528520308641e-9,1.1204665720132885e-7,0.7881868108002371,0.41621237734860717,2.207605720630315,182,,Enriched in ΔSX,Reactome Signaling By Robo Receptors,***
REACTOME_SELENOAMINO_ACID_METABOLISM,7.216028753251541e-9,5.965250436021275e-7,0.7614608014455848,0.47530966135008823,2.3104018751994895,111,,Enriched in ΔSX,Reactome Selenoamino Acid Metabolism,***
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,2.7705160923216176e-8,2.1141168950638805e-6,0.7337619883564803,0.47295511755836106,2.2955731194310816,110,,Enriched in ΔSX,Reactome Srp Dependent Cotranslational Protein Targeting To Membrane,***
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,1.4662067544217014e-7,1.0389122145616628e-5,0.6901324587967956,0.4078512933746684,2.0877290743775263,150,,Enriched in ΔSX,Reactome Cellular Response To Starvation,***
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,5.820822767199872e-7,3.849504123374849e-5,0.6594443980379349,-0.41183193431074294,-1.9500364001795474,163,,Enriched in ΔHC,Reactome Immunoregulatory Interactions Between A Lymphoid And A Non Lymphoid Cell,***
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,6.765588592376285e-7,4.1946649272732964e-5,0.6594443980379349,0.5786363267605729,2.3848403617441014,49,,Enriched in ΔSX,Reactome Sars Cov 2 Modulates Host Translation Machinery,***
REACTOME_BIOLOGICAL_OXIDATIONS,1.3303572103995022e-6,7.331746403979479e-5,0.6435518361507222,-0.4501148041570948,-2.0224801124583887,111,,Enriched in ΔHC,Reactome Biological Oxidations,***
REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY,1.2794331982793431e-6,7.331746403979479e-5,0.6435518361507222,0.6137945694425198,2.3666415218259718,36,,Enriched in ΔSX,Reactome Sars Cov 1 Modulates Host Translation Machinery,***
REACTOME_FATTY_ACID_METABOLISM,3.3876774202827727e-6,1.768724211010795e-4,0.6272567397185284,-0.42207990533570716,-1.9585477596723062,134,,Enriched in ΔHC,Reactome Fatty Acid Metabolism,***
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,3.7630112683395704e-6,1.866453589096427e-4,0.6272567397185284,0.5056984486365548,2.1492776108308638,59,,Enriched in ΔSX,Reactome Rrna Modification In The Nucleus And Cytosol,***
