pathway,pval,padj,log2err,ES,NES,size,leadingEdge,direction,path_clean
HALLMARK_TNFA_SIGNALING_VIA_NFKB,7.669477664224803e-29,3.7580440554701535e-27,1.3951871341583322,0.6252401646435144,3.2032652258217547,181,,Δ(Sx+Tx) > Δ(Sx-NoTx),TNF-α Signaling Via Nfkb
HALLMARK_INFLAMMATORY_RESPONSE,4.566222306305814e-5,0.0011187244650449244,0.557332238758646,0.3646796530145433,1.8377860996891335,156,,Δ(Sx+Tx) > Δ(Sx-NoTx),Inflammatory Response
HALLMARK_P53_PATHWAY,1.4463552326586534e-4,0.0023623802133424673,0.5188480777437918,0.3314195127958568,1.6929183886109829,178,,Δ(Sx+Tx) > Δ(Sx-NoTx),P53 Pathway
HALLMARK_HYPOXIA,3.7499756450211244e-4,0.004593720165150877,0.49849310876659025,0.33116424875832123,1.6543330619668164,153,,Δ(Sx+Tx) > Δ(Sx-NoTx),Hypoxia
HALLMARK_APOPTOSIS,0.0013401457789289338,0.013133428633503553,0.45505986738722953,0.31965377025039005,1.5846889762392866,143,,Δ(Sx+Tx) > Δ(Sx-NoTx),Apoptosis
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.004076880103765153,0.03329452084741542,0.40701791892395395,0.3708060070796435,1.6550549775251493,73,,Δ(Sx+Tx) > Δ(Sx-NoTx),IL6 JAK STAT3 Signaling
HALLMARK_ALLOGRAFT_REJECTION,0.028106828173695426,0.15302606450123066,0.35248785758361917,0.2657786923579742,1.351882624556507,171,,Δ(Sx+Tx) > Δ(Sx-NoTx),Allograft Rejection
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.022420341008676813,0.15302606450123066,0.35248785758361917,0.29906137900120666,1.431389898833422,115,,Δ(Sx+Tx) > Δ(Sx-NoTx),Epithelial Mesenchymal Transition
HALLMARK_KRAS_SIGNALING_UP,0.026045969471565417,0.15302606450123066,0.35248785758361917,0.28324610719932775,1.3844667350317397,137,,Δ(Sx+Tx) > Δ(Sx-NoTx),Kras Signaling Up
HALLMARK_HEME_METABOLISM,0.033221024462377756,0.15783928653889434,0.3217759180753611,0.26014872343001433,1.322222024860678,177,,Δ(Sx+Tx) > Δ(Sx-NoTx),Heme Metabolism
HALLMARK_UV_RESPONSE_UP,0.0354333092230171,0.15783928653889434,0.3217759180753611,0.27308690896587684,1.3264593074666586,130,,Δ(Sx+Tx) > Δ(Sx-NoTx),UV response (Up)
HALLMARK_MYOGENESIS,0.04741064302271392,0.1935934590094152,0.3217759180753611,0.27349213077232626,1.3261355902369159,125,,Δ(Sx+Tx) > Δ(Sx-NoTx),Myogenesis
HALLMARK_MYC_TARGETS_V2,0.05660518183147191,0.21335799305708641,0.3217759180753611,0.31903681237218917,1.3579378818205003,58,,Δ(Sx+Tx) > Δ(Sx-NoTx),Myc Targets V2
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.07106598984771574,0.22718842729970323,0.27128855468895297,0.3030000038768721,1.3158422780411732,67,,Δ(Sx+Tx) > Δ(Sx-NoTx),Cholesterol Homeostasis
HALLMARK_COAGULATION,0.06493506493506493,0.22718842729970323,0.2878571172551493,0.28735631297015485,1.3067073430192007,83,,Δ(Sx+Tx) > Δ(Sx-NoTx),Coagulation
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.07418397626112759,0.22718842729970323,0.2878571172551493,0.23822829768069118,1.2295919674823121,192,,Δ(Sx+Tx) > Δ(Sx-NoTx),Interferon Gamma Response
HALLMARK_KRAS_SIGNALING_DN,0.08189570742659799,0.23605233317078245,0.2878051305355643,0.2874000691412365,1.3010160733782252,86,,Δ(Sx+Tx) > Δ(Sx-NoTx),Kras Signaling Dn
HALLMARK_ESTROGEN_RESPONSE_LATE,0.08743169398907104,0.23800850030358228,0.2529611230696109,0.24807237321227918,1.2298229888891392,143,,Δ(Sx+Tx) > Δ(Sx-NoTx),Estrogen Response Late
HALLMARK_ANGIOGENESIS,0.09297052154195011,0.23976608187134502,0.22205604614524838,0.41685932305770795,1.37803142588289,22,,Δ(Sx+Tx) > Δ(Sx-NoTx),Angiogenesis
HALLMARK_PROTEIN_SECRETION,0.12520325203252033,0.30674796747967487,0.15851410542482433,-0.28607673617871526,-1.2271995555913855,91,,Δ(Sx+Tx) < Δ(Sx-NoTx),Protein Secretion
