symbol,gene_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
HEATR6,ENSG00000068097,1.2493661288087483,3.9210251778573273,4.408677589517841,1.6951432988748317e-4,0.8011909755340388,-3.6606875334212554
NKRF,ENSG00000292244,2.678011692255934,1.9697832275518146,3.8048799453006983,4.0163707780897865e-4,0.8011909755340388,-3.891685558150841
CTSK,ENSG00000143387,-0.7590636984081688,3.1830279398237824,-3.932258624481454,5.724453425789025e-4,0.8011909755340388,-3.898843142471854
RAB3D,ENSG00000105514,-0.8382304128965384,4.723839197486206,-3.919839176528675,6.069220645843023e-4,0.8011909755340388,-3.9088193083502047
SLC35D2,ENSG00000130958,-0.572470553626443,4.546562498398829,-3.8741157323120756,6.605513423655866e-4,0.8011909755340388,-3.8991676952374377
NME8,ENSG00000086288,-1.534992304058287,1.04772459410165,-3.888022093550622,7.363092464961487e-4,0.8011909755340388,-3.7733153187640966
MXRA7,ENSG00000182534,0.5456868351304461,4.716461999202924,3.8293117283527782,7.674687401485686e-4,0.8011909755340388,-3.8844232178911398
ENSG00000307137,ENSG00000307137,-2.853140776664053,-0.46517304499950235,-3.7713613334285485,8.352860041139818e-4,0.8011909755340388,-3.95034323029292
COL8A2,ENSG00000171812,-1.3833969087615536,0.8221916566007708,-3.7846803205675066,8.357040723219506e-4,0.8011909755340388,-4.124970739042852
EMID1,ENSG00000186998,-2.3803602949458575,-0.4379133742238774,-3.7283555190520032,8.480861199323883e-4,0.8011909755340388,-3.9300719085551146
ENSG00000293476,ENSG00000293476,0.8582282973229864,5.002738499451856,3.7117964033255757,9.68089723191067e-4,0.8011909755340388,-3.8979526652020784
TSPAN33,ENSG00000158457,-0.747872115903717,5.484002921669981,-3.6970524081205647,0.001057768826114002,0.8011909755340388,-3.9704497002573675
MTERF2,ENSG00000120832,0.7869643599462807,2.6171076143510605,3.679281899404933,0.0010940561544015,0.8011909755340388,-3.908771442313032
LIMS3,ENSG00000256977,4.351819618044497,-2.5957981567319552,3.6515250485725432,0.001154662702278651,0.8011909755340388,-4.134284875360921
GIHCG,ENSG00000257698,-1.8098639202945912,0.28203723432898936,-3.602562630208587,0.0012910951937724292,0.8011909755340388,-4.004059806175486
DYSF,ENSG00000135636,-0.9359965758734378,5.003373667993776,-3.581127388791394,0.001419471499963906,0.8011909755340388,-3.997773674168181
OR2W3,ENSG00000238243,-1.2206689060425313,0.4219449201733973,-3.570263539838102,0.0014201181748343572,0.8011909755340388,-3.914730455830481
VPS8,ENSG00000156931,0.7543557852701178,4.734981960374945,3.354545327730896,0.0015597857733487257,0.8011909755340388,-3.957670798137756
MPIG6B,ENSG00000228090,-4.301057390719838,-2.9213402220702975,-3.534079248772909,0.0015744159008093002,0.8011909755340388,-4.016529043288995
TUBB,ENSG00000196230,-0.8115112143233453,7.075743338945575,-3.5400834582022838,0.0015985871362593383,0.8011909755340388,-4.067285194111979
ENSG00000303946,ENSG00000303946,1.0905887159557746,0.9275860114449803,3.4823125436717213,0.0016169642423841124,0.8011909755340388,-3.948784502348002
FNIP2,ENSG00000052795,0.5763330894573286,3.658362715556886,3.49663249862196,0.001804561211662149,0.8011909755340388,-3.960175407533098
MTARC1,ENSG00000186205,-1.293883668551085,2.899290169143753,-3.4573729582949677,0.0019236916215189413,0.8011909755340388,-4.111072135376186
ENSG00000279283,ENSG00000279283,-1.8038956345899588,0.05427210360821876,-3.5058059721561237,0.0019286622050735287,0.8011909755340388,-3.8818780439611507
CSF3R,ENSG00000119535,-0.8685330328759194,7.804376355181594,-3.4554698447649925,0.001971000769110486,0.8011909755340388,-4.031992483927926
ANXA3,ENSG00000138772,-2.9853067312715433,-0.6997204468000822,-3.4366543751620817,0.002006688149128149,0.8011909755340388,-4.001427900143753
IFT80,ENSG00000068885,0.8194626488525159,3.766626455114942,3.3890518910230534,0.002117485015902582,0.8011909755340388,-3.9742963005152476
CTSA,ENSG00000064601,-0.5142224081441115,7.428875749600192,-3.4048965296694114,0.002225601633561985,0.8011909755340388,-4.0391592069492805
GFI1,ENSG00000162676,0.5438579583380081,4.865253347164356,3.397541980419136,0.002284985299979023,0.8011909755340388,-4.007364904548703
UBE2Q2P2,ENSG00000290945,2.380786700676883,-0.27698978419956666,3.3261150755310704,0.002382198552570628,0.8011909755340388,-4.019500998051471
ENSG00000257764,ENSG00000257764,-2.069822949341599,0.3710930673870171,-3.3822133249618505,0.0024068821030731385,0.8011909755340388,-4.010522459992309
KCNK6,ENSG00000099337,-0.6329622077042352,5.418773171803648,-3.3710860639068128,0.002428063817733458,0.8011909755340388,-4.05075944555596
