pathway,pval,padj,log2err,ES,NES,size,leadingEdge,direction,path_clean,signif
HOEK_NK_CELL_2011_2012_TIV_3D_VS_0DY_ADULT_3D_DN,3.824995493051126e-46,7.611741031171741e-44,1.7683043267175176,-0.6746929609275752,-3.2764192702458432,229,,Enriched in ΔHC,Hoek Nk Cell 2011 2012 Tiv 3d Vs 0dy Adult 3d Dn,***
HOWARD_PBMC_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_19_39YO_AS03_ADJUVANT_VS_BUFFER_1DY_UP,1.7447390300740627e-24,1.7360153349236924e-22,1.2790339772504933,-0.49501932606587473,-2.497842808266041,350,,Enriched in ΔHC,Howard Pbmc Inact Monov Influenza A Indonesia 05 2005 H5n1 Age 19 39yo As03 Adjuvant Vs Buffer 1dy Up,***
FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_DN,8.15606640769667e-23,4.901655246783966e-21,1.237896673195293,-0.5409444912721773,-2.6457501848517224,237,,Enriched in ΔHC,Fletcher Pbmc Bcg 10w Infant Bcg Stimulated Vs Unstimulated 10w Dn,***
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_POSITIVE,9.85257336036978e-23,4.901655246783966e-21,1.237896673195293,-0.45972057235332975,-2.3750708924801676,419,,Enriched in ΔHC,Nakaya Pbmc Fluarix Fluvirin Age 18 50yo Correlated With Hai 28dy Response At 3dy Positive,***
FLETCHER_PBMC_BCG_10W_INFANT_PPD_STIMULATED_VS_UNSTIMULATED_10W_DN,1.8197799409315354e-17,7.242724164907511e-16,1.0768681926198325,-0.5615037626398908,-2.602397620777443,162,,Enriched in ΔHC,Fletcher Pbmc Bcg 10w Infant Ppd Stimulated Vs Unstimulated 10w Dn,***
SCHERER_PBMC_APSV_WETVAX_AGE_18_32YO_5_TO_7DY_UP,1.8540007401939873e-13,6.149102454976724e-12,0.9436322252328375,-0.4431618927546326,-2.1917033176037113,278,,Enriched in ΔHC,Scherer Pbmc Apsv Wetvax Age 18 32yo 5 To 7dy Up,***
HOWARD_NK_CELL_INACT_MONOV_INFLUENZA_A_INDONESIA_05_2005_H5N1_AGE_18_49YO_28DY_DN,1.3490405786174818e-12,3.835129644926841e-11,0.9101197347744591,-0.6598589913828485,-2.626217412810452,62,,Enriched in ΔHC,Howard Nk Cell Inact Monov Influenza A Indonesia 05 2005 H5n1 Age 18 49yo 28dy Dn,***
QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_EXPANSION_OF_VZV_SPECIFIC_T_CELLS_TO_PEAK_AT_1DY_POSITIVE,1.8101837364275832e-11,4.002517372767656e-10,0.8634153916066928,-0.43743605828770205,-2.1405234499542893,243,,Enriched in ΔHC,Qi Pbmc Zostavax Age 50 75yo Correlated With Expansion Of Vzv Specific T Cells To Peak At 1dy Positive,***
THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_70PLS_NONRESPONDER_2DY_DN,1.7596833546953673e-11,4.002517372767656e-10,0.8634153916066928,-0.504729518396497,-2.310195317566273,147,,Enriched in ΔHC,Thakar Pbmc Inactivated Influenza Age 70pls Nonresponder 2dy Dn,***
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_7DY_NEGATIVE,2.6641899760678945e-11,5.30173805237511e-10,0.8634153916066928,0.32104277357437455,1.8783477720935653,468,,Enriched in ΔSX,Nakaya Pbmc Fluarix Fluvirin Age 18 50yo Correlated With Hai 28dy Response At 7dy Negative,***
QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_CONTRACTION_OF_VZV_SPECIFIC_T_CELLS_PEAK_TO_28DY_AT_1DYPOSITIVE,6.451417277419964e-11,1.167120034733248e-9,0.8390889356212738,-0.4153289024704874,-2.0597216689343636,287,,Enriched in ΔHC,Qi Pbmc Zostavax Age 50 75yo Correlated With Contraction Of Vzv Specific T Cells Peak To 28dy At 1dypositive,***
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_AD5_NAB_TITERS_GTE_200_VS_LTE_200_1DY_UP,4.436354795875261e-10,7.3569550364931405e-9,0.8140358378479079,0.45189180126718986,2.258717337078658,142,,Enriched in ΔSX,Zak Pbmc Mrkad5 Hiv 1 Gag Pol Nef Age 20 50yo Ad5 Nab Titers Gte 200 Vs Lte 200 1dy Up,***
THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_NONRESPONDER_28DY_UP,3.0980131083490357e-9,4.7423431427804474e-8,0.7749390301364363,0.41741162979401164,2.1502298008080762,174,,Enriched in ΔSX,Thakar Pbmc Inactivated Influenza Age 21 30yo Nonresponder 28dy Up,***
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_60DY_UP,7.32393412731986e-9,1.041044922383323e-7,0.7614608014455848,-0.6322696970707508,-2.4294068207301422,50,,Enriched in ΔHC,Gaucher Pbmc Yf Vax Stamaril Unknown Age 60dy Up,***
GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_2MO_DN,2.6540912624416672e-8,3.3010260076618236e-7,0.7337619883564803,-0.4005320058816878,-1.9410073182430108,226,,Enriched in ΔHC,Garcia Pineres Pbmc Hpv 16 L1 Vlp Age 18 25yo 2mo Dn,***
PATEL_SKIN_OF_BODY_ZOSTAVAX_AGE_70_93YO_VZV_CHALLENGE_3DY_UP,2.5356876032605064e-8,3.3010260076618236e-7,0.7337619883564803,-0.5164629718194736,-2.226103603996224,97,,Enriched in ΔHC,Patel Skin Of Body Zostavax Age 70 93yo Vzv Challenge 3dy Up,***
HARALAMBIEVA_PBMC_FLUARIX_AGE_50_74YO_CORR_WITH_28D_MEM_B_CELL_RESPONSE_AT_0DY_NEGATIVE,3.1382628855073053e-7,3.673613613035022e-6,0.674962860011025,-0.33923417661041094,-1.745018139195753,401,,Enriched in ΔHC,Haralambieva Pbmc Fluarix Age 50 74yo Corr With 28d Mem B Cell Response At 0dy Negative,***
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_7DY_UP,9.439462424277823e-7,1.043585012461826e-5,0.6594443980379349,-0.35646675301613134,-1.7689911941385836,289,,Enriched in ΔHC,Gaucher Pbmc Yf Vax Stamaril Unknown Age 7dy Up,***
LI_PBMC_MENACTRA_AGE_18_45YO_CORRELATED_WITH_ANTI_POLYSACCHARIDE_ANTIBODY_3DY_POSITIVE,1.0792773503416268e-6,1.1304010143051774e-5,0.6435518361507222,-0.5573538488872097,-2.1862898179490884,58,,Enriched in ΔHC,Li Pbmc Menactra Age 18 45yo Correlated With Anti Polysaccharide Antibody 3dy Positive,***
KANNAN_BLOOD_2012_2013_TIV_AGE_65PLS_REVACCINATED_IN_6_9_MO_VS_REVACCINATED_IN_12_13_MOS_DN,9.758418644338468e-6,9.709626551116776e-5,0.5933254763964051,-0.33317655401752394,-1.6624092753768598,310,,Enriched in ΔHC,Kannan Blood 2012 2013 Tiv Age 65pls Revaccinated In 6 9 Mo Vs Revaccinated In 12 13 Mos Dn,***
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_10DY_DN,1.0788835129644322e-5,1.0223705670472477e-4,0.5933254763964051,-0.45936446749393367,-1.9894759605209804,102,,Enriched in ΔHC,Gaucher Pbmc Yf Vax Stamaril Unknown Age 10dy Dn,***
FOURATI_BLOOD_TWINRIX_AGE_25_83YO_RESPONDERS_VS_POOR_RESPONDERS_0DY_UP,2.2691619822230396e-5,2.052560156647204e-4,0.5756102610711286,0.2575757014572259,1.502362352781859,461,,Enriched in ΔSX,Fourati Blood Twinrix Age 25 83yo Responders Vs Poor Responders 0dy Up,***
FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_UP,2.73745288631297e-5,2.3684918451142656e-4,0.5756102610711286,-0.5337375639088775,-2.0508110451085257,50,,Enriched in ΔHC,Fuller Pbmc F Tularensis Vaccine Lvs Age 22 54yo 18hr Up,***
FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_48HR_UP,2.870984300000649e-5,2.3805244820838714e-4,0.5756102610711286,-0.5396581092398831,-2.0786604200233403,51,,Enriched in ΔHC,Fuller Pbmc F Tularensis Vaccine Lvs Age 22 54yo 48hr Up,***
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_3DY_UP,4.844602945296052e-5,3.5086004189474146e-4,0.557332238758646,-0.3540375772295792,-1.7062904175715834,217,,Enriched in ΔHC,Gaucher Pbmc Yf Vax Stamaril Unknown Age 3dy Up,***
LI_PBMC_MENACTRA_AGE_18_45YO_CORRELATED_WITH_ANTI_DT_ANTIBODY_3DY_POSITIVE,4.936724207564202e-5,3.5086004189474146e-4,0.557332238758646,-0.5780080341270529,-2.1177630371624825,39,,Enriched in ΔHC,Li Pbmc Menactra Age 18 45yo Correlated With Anti Dt Antibody 3dy Positive,***
LI_PBMC_MENOMUNE_A_C_Y_W_135_AGE_18_45YO_CORRELATED_WITH_ANTIBODY_RESPONSE_3DY_NEGATIVE,4.772798679267934e-5,3.5086004189474146e-4,0.557332238758646,-0.6540560462222652,-2.139122388788267,24,,Enriched in ΔHC,Li Pbmc Menomune A C Y W 135 Age 18 45yo Correlated With Antibody Response 3dy Negative,***
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_7DY_POSITIVE,4.562845698427423e-5,3.5086004189474146e-4,0.557332238758646,-0.3839704734548918,-1.7626730747838806,154,,Enriched in ΔHC,Nakaya Pbmc Fluarix Fluvirin Age 18 50yo Correlated With Hai 28dy Response At 7dy Positive,***
FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_336HR_UP,5.3819615963268687e-5,3.6931391643760237e-4,0.557332238758646,-0.55449586183763,-2.0679123452353183,42,,Enriched in ΔHC,Fuller Pbmc F Tularensis Vaccine Lvs Age 22 54yo 336hr Up,***
HOEK_B_CELL_2011_2012_TIV_ADULT_3DY_UP,7.48799779695856e-5,4.967038538649178e-4,0.5384340963099162,-0.5889092668562258,-2.081912800693652,33,,Enriched in ΔHC,Hoek B Cell 2011 2012 Tiv Adult 3dy Up,***
FULLER_PBMC_F_TULARENSIS_VACCINE_LVS_AGE_22_54YO_18HR_TO_48HR_EARLY_UP,1.1023590474127343e-4,7.076433885004325e-4,0.5384340963099162,-0.6939370246172024,-2.1234099598355685,19,,Enriched in ΔHC,Fuller Pbmc F Tularensis Vaccine Lvs Age 22 54yo 18hr To 48hr Early Up,***
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_3DY_NEGATIVE,1.91345447897537e-4,0.0011899295041128083,0.5188480777437918,0.26230201342449894,1.4935818889029,358,,Enriched in ΔSX,Nakaya Pbmc Fluarix Fluvirin Age 18 50yo Correlated With Hai 28dy Response At 3dy Negative,**
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_AD5_NAB_TITERS_GT_200_VS_LTE_200_1DY_DN,2.0679654047272477e-4,0.0012470458046688554,0.5188480777437918,-0.4207494230645176,-1.797069872265162,95,,Enriched in ΔHC,Zak Pbmc Mrkad5 Hiv 1 Gag Pol Nef Age 20 50yo Ad5 Nab Titers Gt 200 Vs Lte 200 1dy Dn,**
GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_14DY_UP,3.207757117302723e-4,0.00187748137159777,0.49849310876659025,-0.46865589785891176,-1.8383610692855843,58,,Enriched in ΔHC,Gaucher Pbmc Yf Vax Stamaril Unknown Age 14dy Up,**
ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_CORRELATED_WITH_CD8_T_CELL_RESPONSE_3DY_POSITIVE,3.9292695369392384e-4,0.0022340703938597386,0.49849310876659025,0.4002310233951556,1.8092010958794373,79,,Enriched in ΔSX,Zak Pbmc Mrkad5 Hiv 1 Gag Pol Nef Age 20 50yo Correlated With Cd8 T Cell Response 3dy Positive,**
GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_STIMULATED_VS_UNSTIMULATED_0DY_VACCINATION_INDEPENDENT_UP,4.713539499031538e-4,0.0026055398897424334,0.49849310876659025,-0.3315565450466782,-1.5950093282442064,210,,Enriched in ΔHC,Garcia Pineres Pbmc Hpv 16 L1 Vlp Age 18 25yo Stimulated Vs Unstimulated 0dy Vaccination Independent Up,**
